X,Y,Z
0.1589557631507062,0.24238858039950117,0.38270211512579766
0.06039039901057763,0.45132446386470976,0.2509696784548401
0.3273787559554171,0.2536403371127708,0.2834086145513003
0.3937207175391333,0.7739882973651568,0.2597184295655453
0.4108460847598681,0.31276525968783964,0.48724282434400157
0.370670323863995,0.5778921712017632,0.1434502936056764
0.2516714213078518,0.5481651473671325,0.4404934580521316
0.4207099379088083,0.293306889338779,0.32072245820476175
0.137791227601717,0.4188910769120314,0.1627665514118021
0.38008367389289865,0.2394441438310189,0.5157750788452768
0.5578483806032827,0.7610657509685796,0.23414866152011762
0.45821073622312114,0.4793449152515851,0.4132059835654124
0.6318805575904747,0.5065363356924957,0.39028947073102677
0.380687084680697,0.4175527159352943,0.27626043330752986
0.5088256301375592,0.40136292226693876,0.38831976594365414
0.46412443232888695,0.5212261285864872,0.5216380722357585
0.7157725624647986,0.4136987811794158,0.46752063651973585
0.7045654979652283,0.5021975344194705,0.4380091224148631
0.2596837251335661,0.6998539599028605,0.5489451044523145
0.5808174416410582,0.31598871235519504,0.6341885977751764
0.6438870555917744,1.6483873286136255,0.4329874935497011
0.5214174286589137,1.0502929816732622,1.085795211526707
0.8971555840947347,1.2541371722838108,0.9287971634593325
0.7622571049050333,0.7067441452329827,0.9450171254233419
1.0457821345419074,1.0077641621046325,0.6554421021530266
0.5966444868207004,0.6624582267439524,0.9036603793311051
0.8956519926798652,0.8273448923429876,0.5881020240166688
0.4819682155182867,0.7717223297855088,0.5917060852865821
0.6158214724881665,0.7111943960667417,0.644866450498931
0.7463242007232233,1.1700412386860726,0.7685990688606967
0.6338450188128691,0.8262517435652438,0.771449538086971
0.7023744106364062,0.7126482459851178,0.8229629186798395
0.8378502375253238,0.6745321774297575,0.4758644444937502
0.5885464516614688,0.9553953982359591,0.7069362458376408
0.6758101528207479,0.6888502201760227,0.9119438638505938
0.9060896642271444,0.6839995501283456,0.5186502541217091
0.5925205863758891,0.9019219310211486,0.5873692899524162
0.7072620274400641,0.6787148751884509,0.7317429496076682
0.8403436601867852,0.6981602614688975,0.6559872746591455
0.9500834609078012,0.6945212999161521,0.6705178799100924
0.8095491393522561,0.8546243722329658,0.826603938557964
1.0200707883738525,0.8451763550341349,0.6263034610608109
0.7255769025524302,0.8491319959885407,0.5298119212924071
1.0148492256920967,0.8317710369719801,0.6820745275005655
